No,Name,Level,Form,Effect,Image,Book,,,,,,,,,,,,,,,,,,,
1,Access glasses,1d6+1,Wearable: Goggles plus gloves or rings,"The user can see through up to half an inch of solid material and can pass his hands and anything his hands are holding through that solid matter. Once the area to be looked and passed through is chosen—about 18 inches by 18 inches (46 cm by 46 cm)—a new area cannot be chosen. However, the effect lasts for an hour.
[Although some people might use the access glasses to peer into a locked box and remove the contents, many have found that it’s most useful to those who work with the numenera by allowing them to pass through the outer casing of a device to get at the workings inside. Doing so can offer up to two levels of assets in repairing or tinkering with a device with many internal components.]",no,SATC,,,,,,,,,,,,,,,,,,,
2,Access token,1d6,"Wearable: Gloves, ring, false fingernail
Usable: Tiny metal device",Automatically unlocks one locked door or container within short range.,no,SATC,,,,,,,,,,,,,,,,,,,
3,Adamant foam,1d6+1,Usable: Small spray canister,"The foam in this canister is extraordinarily light—almost weightless, lighter than a soap bubble—and virtually invisible. It’s possible, in fact, to have this foam in your hand and not even realize it. And yet the foam, which dries on contact with the air, is superstrong. While pliable, it’s as unbreakable as steel mesh. The canister has enough foam to coat an area 6 feet by 6 feet (2 m by 2 m) with a thin layer.
Although this foam has many uses, if sprayed on a living target, that target has +2 to Armor.
Adamant foam disintegrates after 28 hours.",no,SATC,,,,,,,,,,,,,,,,,,,
4,Adhesion clamps,1d6,"Wearable: Gloves 
Usable: Handles with powerful suction cups","Allows for automatic climbing of any surface, even horizontal ones. Lasts for ten minutes per cypher level.",no,DISC,,,,,,,,,,,,,,,,,,,
5,Airfins,1d6,Wearable: Long gloves with forearm fins,"Through gravity manipulation, the wearer can swim through the air as if it were water for one hour. Training or specialization in swimming aids in movement.",no,SATC,,,,,,,,,,,,,,,,,,,
6,Alarm worm,1d6,Usable: A bloated worm about 1 foot (0.3 m) long,"Six minutes after activation, the worm inflates and excretes 1d6 wet, shuddering eggs at a place the user designates. After laying the eggs, the worm slithers back to the user and coils around one of his limbs, gripping tightly. For the next seven hours, whenever a creature approaches within 5 feet (2 m) of the eggs, the worm tightens and exudes a thick orange slime that reeks of rotten meat. When the effect ends, the worm relaxes its grip, falls, and expires messily.",no,SATC,,,,,,,,,,,,,,,,,,,
7,Amplification parasite,1d6+4,"Internal: Living fish, beetle, or worm that must be ingested ","Upon eating the parasite, the user chooses one stat and the GM chooses a different stat. The difficulty of any roll related to the user’s chosen stat is reduced by two steps, and the difficulty of any roll involving the GM’s chosen stat is increased by two steps. The parasite dies after 1d6 hours, and the effect ends when the user violently expels it from her body.",no,SATC,,,,,,,,,,,,,,,,,,,
8,Analysis daemon,1,"Internal: Pill, ingestible liquid
Wearable: Temporary tattoo, amulet, headband, crystal worn on temple
Usable: Small handheld device, crystal",The user examines a cypher or an artifact and then taps into the datasphere. The user automatically identifies the device.,no,SATC,,,,,,,,,,,,,,,,,,,
9,Analysis scanner,1d10,"Wearable: Bracelet
Usable: Handheld device","This device scans and records everything within short range for one round and then conveys the level and nature of all creatures, objects, and energy sources it scanned. This information can be accessed for 28 hours after the scan.",c8,SATC,,,,,,,,,,,,,,,,,,,
10,Anchor stone,1d6,Usable: Lump of oddly shaped stone or metal,Submerging the device in water causes it to swell into a boulder about 5 feet (2 m) in diameter that weighs 500 pounds (227 kg).,no,SATC,,,,,,,,,,,,,,,,,,,
